Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
443,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,.455,0.8,1.9,.412,0.9,1.8,.500,.561,0.2,0.2,1.000,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3,smithdr01
444,Ish Smith,PG,35,CHO,36,2,16.5,1.6,3.6,.461,0.1,0.2,.333,1.6,3.4,.467,.469,0.1,0.1,.750,0.3,1.5,1.8,3.1,0.3,0.1,1.2,1.0,3.4,smithis01
445,Jabari Smith Jr.,PF,20,HOU,40,40,31.7,5.0,10.6,.474,1.7,4.5,.382,3.3,6.2,.541,.554,1.9,2.4,.809,2.0,6.8,8.7,1.5,0.6,0.8,1.2,2.9,13.7,smithja05
446,Jalen Smith,C,23,IND,32,12,17.6,4.0,6.3,.629,1.1,2.3,.486,2.9,4.1,.708,.715,1.3,1.8,.695,1.6,3.9,5.5,1.0,0.3,0.6,0.9,2.4,10.3,smithja04
447,Nick Smith Jr.,SG,19,CHO,28,0,15.2,2.5,5.9,.433,1.4,2.9,.475,1.2,3.0,.393,.549,0.1,0.1,.750,0.5,1.1,1.6,1.1,0.1,0.3,1.0,1.1,6.5,smithni01
448,Terquavion Smith,PG,21,PHI,4,0,3.8,0.5,2.3,.222,0.5,1.5,.333,0.0,0.8,.000,.333,0.5,0.5,1.000,0.0,0.0,0.0,1.3,0.8,0.0,0.3,0.0,2.0,smithte01
449,Jeremy Sochan,PF,20,SAS,45,44,29.5,4.5,10.2,.441,1.1,2.8,.383,3.4,7.4,.464,.495,1.6,2.0,.791,1.7,4.2,5.9,3.9,0.7,0.4,1.9,2.4,11.7,sochaje01
450,Jaden Springer,SG,21,PHI,25,0,10.1,1.2,3.2,.363,0.2,1.0,.200,1.0,2.2,.436,.394,0.7,0.9,.773,0.7,0.7,1.4,0.9,0.5,0.4,0.7,1.4,3.2,sprinja01
451,Lamar Stevens,PF,26,BOS,17,1,6.3,0.9,2.2,.432,0.1,0.4,.286,0.8,1.8,.467,.459,0.4,0.5,.750,0.5,0.9,1.4,0.4,0.4,0.3,0.5,0.8,2.4,stevela01
452,Isaiah Stewart,PF,22,DET,33,32,30.7,4.1,8.6,.470,1.5,3.8,.384,2.6,4.8,.538,.554,1.5,2.0,.738,1.8,5.2,7.0,1.8,0.4,0.8,1.6,2.5,11.0,stewais01
453,Julian Strawther,SF,21,DEN,33,0,13.9,2.2,5.6,.384,1.1,3.5,.322,1.0,2.1,.486,.484,0.5,0.7,.696,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.9,strawju01
454,Max Strus,SF,27,CLE,43,43,33.1,4.6,11.4,.403,2.5,7.5,.336,2.1,3.9,.533,.514,1.1,1.3,.807,0.8,4.2,4.9,3.8,1.0,0.5,1.6,2.7,12.8,strusma01
455,Jalen Suggs,SG,22,ORL,41,41,26.2,4.5,9.9,.453,2.0,5.1,.388,2.5,4.8,.523,.553,1.7,2.1,.773,0.7,2.6,3.3,2.3,1.3,0.6,1.9,2.8,12.6,suggsja01
456,Cole Swider,SF,24,MIA,9,0,4.9,1.0,2.3,.429,0.6,1.7,.333,0.4,0.7,.667,.548,0.0,0.0,,0.1,0.1,0.2,0.3,0.1,0.1,0.3,0.2,2.6,swideco01
457,Jae'Sean Tate,SF,28,HOU,41,9,18.4,1.8,3.9,.475,0.4,1.5,.290,1.4,2.3,.594,.532,0.5,0.7,.714,1.0,2.4,3.4,1.1,0.7,0.2,0.4,2.4,4.6,tateja01
458,Jayson Tatum,PF,25,BOS,42,42,35.9,9.0,19.3,.468,3.0,8.3,.362,6.0,11.0,.549,.546,5.9,7.3,.811,0.9,7.5,8.4,4.4,1.0,0.5,2.5,2.1,27.0,tatumja01
459,Terry Taylor,PF,24,CHI,16,0,6.8,0.8,1.4,.591,0.0,0.3,.000,0.8,1.1,.765,.591,0.1,0.1,1.000,0.8,0.5,1.3,0.3,0.2,0.1,0.4,0.8,1.7,taylote01
460,Garrett Temple,SG,37,TOR,12,0,3.9,0.5,1.2,.429,0.2,0.5,.333,0.3,0.7,.500,.500,0.3,0.3,1.000,0.3,0.4,0.8,0.5,0.2,0.0,0.3,0.3,1.5,templga01
461,Dalen Terry,SG,21,CHI,30,1,9.8,0.7,2.0,.361,0.3,1.2,.222,0.5,0.8,.560,.426,0.5,0.7,.750,0.3,1.3,1.6,1.2,0.2,0.3,0.5,1.2,2.2,terryda01
462,Daniel Theis,C,31,TOT,33,1,16.9,2.6,4.9,.521,0.4,1.0,.406,2.2,4.0,.550,.561,0.8,1.2,.737,1.6,2.0,3.6,0.9,0.5,0.9,0.7,2.3,6.4,theisda01
462,Daniel Theis,C,31,IND,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,theisda01
462,Daniel Theis,C,31,LAC,32,1,17.2,2.6,5.0,.528,0.4,1.0,.419,2.2,4.0,.555,.569,0.9,1.2,.737,1.7,2.0,3.7,0.9,0.5,0.9,0.7,2.3,6.5,theisda01
463,Cam Thomas,SG,22,BRK,35,20,28.4,7.5,17.0,.440,1.9,5.4,.344,5.6,11.6,.484,.494,3.7,4.5,.822,0.2,2.3,2.6,2.4,0.6,0.3,1.7,1.9,20.5,thomaca02
464,Amen Thompson,SF,21,HOU,25,1,16.6,2.5,5.3,.470,0.2,1.2,.161,2.3,4.0,.564,.489,1.4,2.0,.680,1.0,3.1,4.2,2.2,1.0,0.3,1.1,1.9,6.5,thompam01
465,Ausar Thompson,SF,21,DET,44,24,23.8,3.4,7.3,.467,0.3,1.6,.153,3.2,5.7,.558,.485,1.2,1.9,.634,2.1,4.6,6.7,2.0,0.9,0.9,1.3,3.0,8.3,thompau01
466,Klay Thompson,SF,33,GSW,41,41,30.5,6.0,14.3,.423,3.3,8.6,.387,2.7,5.7,.478,.540,2.0,2.2,.910,0.6,2.9,3.4,2.3,0.5,0.5,1.7,1.9,17.4,thompkl01
467,Tristan Thompson,PF,32,CLE,36,0,12.4,1.7,2.6,.649,0.0,0.0,.000,1.7,2.6,.656,.649,0.4,1.2,.310,1.6,2.3,3.9,1.1,0.2,0.3,0.6,1.4,3.8,thomptr01
468,JT Thor,PF,21,CHO,36,1,14.6,1.3,3.6,.357,0.5,1.6,.316,0.8,2.0,.389,.426,0.2,0.3,.545,1.0,1.7,2.8,0.4,0.2,0.5,0.3,1.1,3.2,thorjt01
469,Matisse Thybulle,SF,26,POR,43,15,22.6,2.0,4.7,.425,1.4,3.7,.373,0.6,1.0,.619,.573,0.3,0.4,.813,0.4,1.5,2.0,1.2,1.6,0.8,0.5,1.3,5.6,thybuma01
470,Xavier Tillman Sr.,C,25,MEM,32,12,20.2,2.6,6.3,.406,0.4,1.6,.231,2.2,4.7,.467,.436,0.5,1.2,.405,1.6,3.0,4.6,1.7,1.2,1.0,0.9,1.7,6.0,tillmxa01
471,Jacob Toppin,SF,23,NYK,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,toppija01
472,Obi Toppin,PF,25,IND,46,28,23.3,4.5,7.7,.584,1.3,3.2,.399,3.2,4.5,.716,.667,1.1,1.4,.758,1.1,2.9,4.0,1.5,0.5,0.5,0.8,2.1,11.4,toppiob01
473,Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,.250,0.1,0.4,.250,0.2,0.7,.250,.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6,toscaju01
474,Karl-Anthony Towns,PF,28,MIN,44,44,33.2,8.1,15.7,.520,2.2,5.0,.439,5.9,10.6,.558,.590,4.3,4.8,.882,1.5,7.3,8.8,3.0,0.7,0.5,2.9,3.4,22.7,townska01
475,Gary Trent Jr.,SG,25,TOR,40,10,25.9,4.3,10.1,.423,2.3,5.6,.415,2.0,4.5,.433,.538,0.7,1.1,.651,0.3,1.9,2.1,1.6,0.8,0.1,0.6,1.2,11.6,trentga02
476,Oscar Tshiebwe,PF,24,IND,6,0,5.7,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,0.8,1.0,.833,1.0,1.0,2.0,0.3,0.3,0.0,0.0,0.2,3.5,tshieos01
477,P.J. Tucker,PF,38,TOT,15,3,15.9,0.4,1.3,.316,0.3,1.1,.313,0.1,0.2,.333,.447,0.2,0.2,1.000,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3,tuckepj01
477,P.J. Tucker,PF,38,PHI,3,3,22.0,0.7,1.7,.400,0.7,1.7,.400,0.0,0.0,,.600,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0,tuckepj01
477,P.J. Tucker,PF,38,LAC,12,0,14.4,0.3,1.2,.286,0.3,0.9,.273,0.1,0.3,.333,.393,0.3,0.3,1.000,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2,tuckepj01
478,Myles Turner,C,27,IND,45,45,27.4,6.2,11.8,.524,1.4,4.1,.339,4.8,7.8,.622,.583,3.4,4.3,.803,1.7,5.3,7.0,1.3,0.5,1.9,1.5,3.1,17.2,turnemy01
479,Hunter Tyson,PF,23,DEN,9,0,3.0,0.1,0.8,.143,0.0,0.7,.000,0.1,0.1,1.000,.143,0.0,0.0,,0.0,0.7,0.7,0.1,0.0,0.0,0.2,0.7,0.2,tysonhu01
480,Stanley Umude,SG,24,DET,15,0,10.3,1.3,2.9,.455,0.9,1.8,.519,0.4,1.1,.353,.614,1.4,1.5,.913,0.2,1.7,1.9,0.5,0.3,0.3,0.7,1.6,5.0,umudest01
481,Jonas Valančiūnas,C,31,NOP,45,45,26.3,5.4,9.6,.565,0.6,1.8,.358,4.8,7.8,.612,.598,2.4,3.0,.807,2.6,7.0,9.6,2.3,0.5,1.1,1.4,3.1,14.0,valanjo01
482,Jarred Vanderbilt,PF,24,LAL,25,5,19.6,1.8,3.7,.484,0.2,1.0,.250,1.6,2.8,.565,.516,0.6,1.0,.625,1.4,3.3,4.7,1.0,1.0,0.2,0.8,1.6,4.4,vandeja01
483,Fred VanVleet,PG,29,HOU,42,42,37.1,5.7,14.0,.411,3.0,7.9,.386,2.7,6.1,.443,.520,2.7,3.1,.868,0.4,3.4,3.8,8.4,1.1,1.0,1.6,2.2,17.2,vanvlfr01
484,Devin Vassell,SG,23,SAS,40,34,31.1,6.6,14.2,.461,2.4,6.7,.361,4.1,7.5,.552,.547,2.4,3.0,.805,0.4,3.2,3.5,3.5,1.2,0.2,1.3,1.1,17.9,vassede01
485,Sasha Vezenkov,PF,28,SAC,33,0,12.7,2.2,4.8,.456,1.1,2.9,.375,1.1,1.9,.581,.570,0.2,0.3,.700,0.9,1.7,2.6,0.4,0.5,0.2,0.3,0.9,5.7,vezenal01
486,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,vincega01
487,Nikola Vučević,C,33,CHI,41,39,33.8,7.3,15.4,.475,1.1,4.0,.273,6.2,11.4,.546,.510,1.2,1.4,.864,2.7,7.9,10.6,3.5,0.7,0.7,1.6,2.6,17.0,vucevni01
488,Dean Wade,PF,27,CLE,36,29,22.1,1.9,4.5,.432,1.6,3.8,.413,0.4,0.7,.542,.608,0.4,0.5,.789,0.9,3.7,4.5,0.8,0.9,0.3,0.5,2.0,5.9,wadede01
489,Franz Wagner,SF,22,ORL,37,37,33.1,7.6,16.2,.467,1.5,4.9,.304,6.1,11.3,.537,.513,4.0,4.7,.855,1.1,4.6,5.6,3.9,1.1,0.4,1.9,2.3,20.6,wagnefr01
490,Moritz Wagner,C,26,ORL,43,1,18.9,4.3,7.2,.592,0.5,1.7,.319,3.7,5.6,.674,.629,2.3,2.9,.789,1.5,3.0,4.5,1.3,0.5,0.3,1.2,2.2,11.3,wagnemo01
491,Ish Wainright,SF,29,POR,7,0,6.6,0.9,2.6,.333,0.9,2.3,.375,0.0,0.3,.000,.500,0.3,0.3,1.000,0.0,1.3,1.3,0.0,0.3,0.1,0.1,0.6,2.9,wainris01
492,Jabari Walker,SF,21,POR,41,7,21.2,3.0,6.3,.479,0.6,2.0,.296,2.4,4.3,.562,.525,1.9,2.5,.752,1.9,4.3,6.2,0.9,0.7,0.4,0.9,2.2,8.5,walkeja01
493,Jarace Walker,PF,20,IND,15,0,11.0,1.9,4.3,.438,0.8,2.0,.400,1.1,2.3,.471,.531,0.4,0.5,.857,0.5,1.3,1.9,1.3,0.6,0.3,0.5,1.0,4.9,walkeja02
494,Lonnie Walker IV,SG,25,BRK,26,0,18.3,4.3,9.0,.483,2.2,4.8,.452,2.2,4.2,.519,.605,1.1,1.5,.763,0.2,2.0,2.2,1.3,0.6,0.3,1.2,1.1,12.0,walkelo01
495,Cason Wallace,SG,20,OKC,45,7,21.1,2.6,5.2,.513,1.1,2.7,.421,1.5,2.5,.613,.623,0.4,0.5,.833,0.6,1.6,2.3,1.4,0.7,0.4,0.5,1.7,6.9,wallaca01
496,Jordan Walsh,SF,19,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,walshjo01
497,P.J. Washington,PF,25,CHO,37,16,28.5,4.7,10.8,.434,1.8,5.4,.328,2.9,5.5,.537,.515,1.5,1.9,.750,1.2,4.0,5.2,2.2,0.8,0.8,1.5,2.7,12.6,washipj01
498,TyTy Washington Jr.,PG,22,MIL,2,0,3.0,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,1.5,washity02
499,Yuta Watanabe,SF,29,PHO,26,0,14.3,1.2,3.6,.344,0.9,2.8,.315,0.3,0.8,.450,.468,0.4,0.6,.667,0.4,1.3,1.7,0.4,0.3,0.3,0.6,1.3,3.7,watanyu01
500,Lindy Waters III,SG,26,OKC,16,0,7.3,1.0,2.4,.421,0.9,2.3,.417,0.1,0.1,.500,.618,0.0,0.0,,0.1,0.7,0.8,0.6,0.0,0.1,0.1,0.7,2.9,waterli01
501,Trendon Watford,PF,23,BRK,31,0,12.2,2.3,4.4,.533,0.3,0.9,.357,2.0,3.5,.579,.570,0.8,0.9,.828,0.9,1.9,2.9,1.6,0.5,0.2,0.8,1.6,5.7,watfotr01
502,Peyton Watson,SF,21,DEN,44,2,17.5,2.5,5.4,.469,0.7,2.1,.330,1.9,3.4,.554,.531,1.0,1.4,.705,0.5,2.1,2.7,1.0,0.5,0.9,0.6,1.6,6.8,watsope01
503,Victor Wembanyama,C,20,SAS,39,39,28.5,7.5,16.2,.463,1.5,5.0,.299,6.0,11.3,.535,.509,3.9,4.9,.811,2.3,7.8,10.1,3.0,1.1,3.2,3.3,2.3,20.5,wembavi01
504,Blake Wesley,SG,20,SAS,24,1,11.3,1.5,3.0,.500,0.0,0.6,.067,1.5,2.4,.614,.507,0.5,1.0,.478,0.3,0.9,1.2,2.3,0.4,0.1,0.5,1.4,3.5,weslebl01
505,Russell Westbrook,PG,35,LAC,43,10,23.2,4.6,9.8,.468,0.7,2.3,.300,3.9,7.5,.520,.504,1.6,2.4,.673,1.6,4.3,5.9,4.7,1.1,0.5,2.2,1.9,11.5,westbru01
506,Coby White,PG,23,CHI,46,46,35.7,6.7,14.7,.460,2.8,7.1,.400,3.9,7.6,.516,.556,2.6,3.2,.821,0.5,4.1,4.7,5.0,0.7,0.3,2.1,2.4,18.9,whiteco01
507,Derrick White,SG,29,BOS,41,41,32.1,5.5,11.8,.465,2.7,6.7,.401,2.8,5.1,.548,.579,2.3,2.6,.896,0.7,3.4,4.1,4.8,1.0,1.2,1.7,2.2,15.9,whitede01
508,Cam Whitmore,SF,19,HOU,21,1,15.7,3.8,7.9,.485,1.4,3.6,.395,2.4,4.2,.562,.576,1.1,1.8,.622,0.6,3.0,3.6,0.4,0.7,0.2,0.7,1.4,10.1,whitmca01
509,Aaron Wiggins,SG,25,OKC,42,0,12.9,2.2,3.6,.605,0.6,1.1,.553,1.6,2.5,.629,.691,0.5,0.7,.759,0.6,1.6,2.2,0.9,0.4,0.1,0.5,1.2,5.5,wiggiaa01
510,Andrew Wiggins,SF,28,GSW,38,27,26.5,4.6,10.8,.427,0.9,3.2,.295,3.7,7.6,.483,.471,1.8,2.6,.700,1.7,2.4,4.2,1.5,0.3,0.4,1.4,2.3,12.0,wiggian01
511,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,wiggili01
512,Brandon Williams,PG,24,DAL,6,0,5.8,1.2,2.2,.538,0.3,0.7,.500,0.8,1.5,.556,.615,0.3,1.0,.333,0.3,0.5,0.8,1.0,0.2,0.2,0.3,0.2,3.0,willibr03
513,Grant Williams,PF,25,DAL,41,29,26.2,2.8,6.7,.413,1.7,4.6,.364,1.1,2.2,.517,.536,0.8,1.1,.717,0.9,2.6,3.5,1.8,0.4,0.6,1.0,2.9,8.0,willigr01
514,Jalen Williams,PF,22,OKC,42,42,32.0,7.3,13.4,.542,1.4,3.1,.438,5.9,10.3,.573,.592,2.7,3.3,.826,0.5,3.6,4.1,4.5,1.1,0.5,1.8,2.7,18.6,willija06
515,Jaylin Williams,C,21,OKC,37,0,11.7,1.2,3.1,.395,0.7,2.0,.365,0.5,1.1,.450,.513,0.4,0.4,.875,0.5,2.6,3.1,1.2,0.4,0.3,0.4,1.5,3.5,willija07
516,Jeenathan Williams,SG,24,HOU,7,0,7.9,1.4,3.3,.435,0.1,0.4,.333,1.3,2.9,.450,.457,0.6,0.7,.800,0.7,0.1,0.9,0.4,0.3,0.0,0.1,0.7,3.6,willije02
517,Kenrich Williams,PF,29,OKC,34,0,15.0,1.9,3.9,.485,0.8,2.0,.397,1.1,1.9,.578,.587,0.1,0.3,.300,0.7,2.2,3.0,1.4,0.6,0.1,0.4,1.4,4.6,willike04
518,Mark Williams,C,22,CHO,19,19,26.7,5.2,7.9,.649,0.0,0.0,,5.2,7.9,.649,.649,2.4,3.4,.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,willima07
519,Patrick Williams,PF,22,CHI,43,30,27.3,3.7,8.3,.443,1.4,3.4,.399,2.3,4.9,.474,.525,1.2,1.5,.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0,willipa01
520,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,williro04
521,Vince Williams Jr.,SG,23,MEM,35,16,24.5,2.5,5.9,.424,1.5,4.0,.383,0.9,1.8,.516,.556,1.6,2.0,.812,1.2,4.2,5.4,2.2,0.8,0.7,1.1,2.4,8.1,willivi01
522,Ziaire Williams,SF,22,MEM,43,9,19.0,2.7,7.0,.391,1.1,3.6,.320,1.6,3.5,.463,.472,1.1,1.4,.831,0.7,2.7,3.4,1.4,0.6,0.2,1.3,1.7,7.8,willizi02
523,Zion Williamson,PF,23,NOP,36,36,30.3,8.7,14.8,.589,0.1,0.3,.400,8.6,14.5,.593,.593,4.4,6.7,.654,1.8,3.8,5.6,4.8,0.9,0.4,2.5,2.6,21.9,willizi01
524,Jalen Wilson,PF,23,BRK,11,0,9.5,1.5,2.9,.500,0.2,0.7,.250,1.3,2.2,.583,.531,1.4,1.4,1.000,1.4,0.8,2.2,0.8,0.3,0.1,0.3,0.8,4.5,wilsoja03
525,Dylan Windler,SF,27,TOT,4,0,3.0,0.5,0.8,.667,0.5,0.8,.667,0.0,0.0,,1.000,0.0,0.0,,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.5,1.5,windldy01
525,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,windldy01
525,Dylan Windler,SF,27,LAL,1,0,5.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,windldy01
526,James Wiseman,C,22,DET,29,0,14.6,2.7,3.9,.675,0.0,0.1,.000,2.7,3.9,.688,.675,0.7,1.2,.618,1.4,2.7,4.1,0.6,0.1,0.7,0.9,2.0,6.0,wisemja01
527,Christian Wood,PF,28,LAL,40,1,18.5,2.5,5.3,.474,0.8,2.4,.326,1.8,3.0,.593,.547,1.4,2.0,.688,0.8,4.7,5.5,1.1,0.3,0.8,1.1,1.5,7.2,woodch01
528,Delon Wright,PG,31,WAS,23,0,16.2,1.6,4.3,.374,0.5,1.3,.367,1.1,3.0,.377,.429,1.0,1.2,.815,0.4,1.7,2.1,3.0,1.3,0.3,0.4,0.8,4.7,wrighde01
529,Thaddeus Young,PF,35,TOR,17,4,13.1,2.0,3.5,.576,0.1,0.2,.250,1.9,3.2,.600,.585,0.2,0.5,.444,1.1,1.6,2.7,2.1,0.9,0.1,0.4,1.5,4.3,youngth01
530,Trae Young,PG,25,ATL,40,40,36.3,8.3,19.6,.424,3.3,9.0,.362,5.1,10.7,.477,.507,7.1,8.2,.860,0.5,2.5,3.0,10.8,1.4,0.2,4.3,2.0,27.0,youngtr01
531,Omer Yurtseven,C,25,UTA,25,6,10.3,1.5,3.0,.500,0.1,0.6,.200,1.4,2.4,.574,.520,0.2,0.4,.600,1.4,2.7,4.1,0.5,0.2,0.4,0.9,1.3,3.4,yurtsom01
532,Cody Zeller,C,31,NOP,32,0,8.4,0.6,1.6,.400,0.0,0.1,.333,0.6,1.5,.404,.410,0.6,1.0,.606,1.2,1.6,2.7,1.0,0.2,0.1,0.3,1.2,1.9,zelleco01
533,Ivica Zubac,C,26,LAC,38,38,27.1,5.3,8.1,.655,0.0,0.0,,5.3,8.1,.655,.655,1.8,2.8,.648,3.3,6.5,9.7,1.3,0.2,1.4,1.1,2.9,12.4,zubaciv01