,player,rank,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,experience,svm_distance,norm_svm_dist_score,first,share,pca_distance
0,Adam Flagler,687.0,SG,24.0,OKC,2.0,0.0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.5,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,14.0,0.6,0.214,0.857,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,21.7,0.0,0.0,-0.159,-6.7,-3.9,-10.6,0.0,2024,1,,,,,
1,Adama Sanogo,547.0,PF,21.0,CHI,9.0,0.0,7.3,1.6,3.0,0.519,0.0,0.0,0.0,1.6,3.0,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0,66.0,21.9,0.558,0.0,0.444,31.6,29.4,30.5,0.0,0.8,0.0,13.4,24.8,0.1,0.2,0.133,-0.4,-6.3,-6.7,-0.1,2024,1,,,,,
2,Alex Fudge,437.0,SF,20.0,LAL,6.0,0.0,13.0,2.5,4.5,0.556,0.5,1.5,0.333,2.0,3.0,0.667,0.611,0.5,0.5,1.0,1.0,0.5,1.5,0.0,1.5,0.0,0.5,0.5,5.5,26.0,16.2,0.611,0.333,0.333,16.7,4.2,7.9,0.0,5.5,0.0,12.7,24.3,0.0,0.1,0.108,-0.4,2.1,1.7,0.0,2024,1,,,,,
3,Amari Bailey,644.0,PG,19.0,CHO,10.0,0.0,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.7,1.6,0.438,0.354,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0.0,0.4,0.2,2.3,65.0,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0.0,12.9,21.1,0.0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1,2024,1,,,,,
4,Amen Thompson,250.0,SF,21.0,HOU,62.0,23.0,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,1388.0,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,2024,1,,,,,
5,Andre Jackson Jr.,654.0,SG,22.0,MIL,57.0,8.0,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,572.0,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10.0,0.5,1.0,0.081,-3.6,0.0,-3.6,-0.2,2024,1,,,,,
6,Anthony Black,495.0,PG,20.0,ORL,69.0,33.0,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,1164.0,8.4,0.56,0.381,0.324,3.3,10.8,7.0,10.6,1.5,1.7,16.6,12.7,1.5,1.6,0.067,-3.8,0.8,-3.0,-0.3,2024,1,,,,,
7,Ausar Thompson,272.0,SF,21.0,DET,63.0,38.0,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,1583.0,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,2024,1,,,,,
8,Ben Sheppard,513.0,SG,22.0,IND,57.0,1.0,14.3,1.6,4.0,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,814.0,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3,2024,1,,,,,
9,Bilal Coulibaly,289.0,SF,19.0,WAS,63.0,15.0,27.2,3.0,6.9,0.435,1.0,2.9,0.346,2.0,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,1715.0,8.9,0.543,0.428,0.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,2024,1,,,,,
10,Brandin Podziemski,258.0,SG,20.0,GSW,74.0,28.0,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,1968.0,13.0,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.0,4.1,0.1,-0.5,0.4,-0.1,0.9,2024,1,,,,,
11,Brandon Miller,82.0,SF,21.0,CHO,74.0,68.0,32.2,6.4,14.6,0.44,2.5,6.7,0.373,3.9,8.0,0.495,0.524,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5,17.3,2383.0,13.0,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3,2024,1,,,,,
12,Brice Sensabaugh,332.0,SF,20.0,UTA,32.0,11.0,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5,584.0,8.6,0.511,0.528,0.188,3.0,16.1,9.6,13.0,1.1,0.9,16.6,20.3,0.2,-0.3,-0.024,-3.3,-2.1,-5.5,-0.5,2024,1,,,,,
13,Cam Whitmore,175.0,SF,19.0,HOU,47.0,2.0,18.7,4.5,9.9,0.454,1.7,4.7,0.359,2.8,5.3,0.538,0.539,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1.0,1.4,12.3,880.0,16.6,0.561,0.471,0.24,5.3,16.7,11.0,6.0,1.7,1.8,8.2,27.1,1.1,1.5,0.082,1.0,-0.9,0.1,0.5,2024,1,,,,,
14,Cason Wallace,375.0,SG,20.0,OKC,82.0,13.0,20.6,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8,1692.0,12.0,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2.0,8.9,12.9,2.1,4.0,0.115,-0.9,1.0,0.1,0.9,2024,1,,,,,
15,Chet Holmgren,94.0,C,21.0,OKC,82.0,82.0,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,2413.0,20.4,0.632,0.366,0.289,6.2,23.1,15.0,11.6,1.1,7.3,10.9,21.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,2024,1,,,,,
16,Chris Livingston,702.0,SF,20.0,MIL,21.0,0.0,4.3,0.5,1.0,0.5,0.0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1.0,0.2,0.1,0.0,0.2,0.7,1.2,90.0,6.9,0.547,0.227,0.182,3.7,21.5,12.8,7.2,1.1,0.0,17.4,13.8,0.1,0.1,0.027,-7.0,-1.0,-8.0,-0.1,2024,1,,,,,
17,Colby Jones,656.0,SG,21.0,SAC,30.0,0.0,6.4,0.9,2.4,0.394,0.1,0.7,0.091,0.9,1.6,0.531,0.408,0.2,0.4,0.545,0.6,0.8,1.3,0.7,0.2,0.2,0.3,1.0,2.1,192.0,8.9,0.422,0.31,0.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,0.2,0.0,0.007,-5.4,0.4,-5.0,-0.1,2024,1,,,,,
18,Colin Castleton,684.0,C,23.0,LAL,16.0,0.0,3.7,0.6,1.0,0.563,0.0,0.0,0.0,0.6,1.0,0.563,0.563,0.4,0.4,1.0,0.4,0.4,0.8,0.2,0.1,0.0,0.2,0.7,1.5,59.0,13.0,0.644,0.0,0.375,11.9,10.8,11.3,6.8,1.6,0.0,13.9,15.8,0.0,0.2,0.128,-3.9,-1.4,-5.2,0.0,2024,1,,,,,
19,Collin Gillespie,583.0,PG,24.0,DEN,24.0,0.0,9.4,1.3,2.9,0.464,0.6,1.6,0.395,0.7,1.3,0.548,0.572,0.3,0.5,0.667,0.0,0.8,0.9,1.1,0.5,0.0,0.6,1.0,3.6,225.0,11.0,0.586,0.551,0.174,0.5,9.6,5.2,15.5,2.9,0.0,15.9,17.1,0.3,0.4,0.076,-3.7,0.9,-2.7,0.0,2024,1,,,,,
20,Craig Porter Jr.,430.0,PG,23.0,CLE,51.0,6.0,12.7,2.3,4.5,0.509,0.2,0.7,0.353,2.0,3.8,0.536,0.535,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6,649.0,15.4,0.564,0.149,0.246,3.7,15.1,9.4,26.5,1.6,2.1,15.1,20.2,0.9,1.5,0.108,-0.6,1.1,0.5,0.4,2024,1,,,,,
21,D'Moi Hodge,661.0,SG,25.0,LAL,7.0,0.0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,41.0,6.1,0.441,0.8,0.133,0.0,0.0,0.0,15.6,1.2,2.1,5.9,17.8,0.0,0.0,-0.019,-3.7,-2.6,-6.3,0.0,2024,1,,,,,
22,D.J. Carton,627.0,SG,23.0,TOR,4.0,0.0,9.0,0.8,2.0,0.375,0.3,1.0,0.25,0.5,1.0,0.5,0.438,1.0,1.3,0.8,0.5,0.5,1.0,0.8,0.3,0.0,0.3,0.8,2.8,36.0,9.6,0.539,0.5,0.625,6.0,6.2,6.1,10.5,1.3,0.0,8.9,13.3,0.0,0.0,0.062,-4.2,-1.1,-5.3,0.0,2024,1,,,,,
23,Dariq Whitehead,686.0,SF,19.0,BRK,2.0,0.0,12.0,0.5,2.5,0.2,0.0,1.5,0.0,0.5,1.0,0.5,0.2,0.5,1.0,0.5,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,24.0,4.9,0.255,0.6,0.4,0.0,18.8,9.1,15.6,0.0,3.8,0.0,10.6,0.0,0.0,-0.03,-5.5,-2.4,-7.9,0.0,2024,1,,,,,
24,Dereck Lively II,271.0,C,19.0,DAL,55.0,42.0,23.5,4.0,5.4,0.747,0.0,0.0,0.0,4.0,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,1294.0,18.1,0.728,0.007,0.274,11.4,20.4,16.0,6.4,1.3,5.2,13.1,12.6,1.8,4.9,0.183,-0.3,0.8,0.5,0.8,2024,1,,,,,
25,Dexter Dennis,434.0,SG,24.0,DAL,4.0,0.0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,30.0,18.3,0.541,0.421,0.158,3.7,29.0,16.4,23.7,0.0,2.9,12.9,33.3,0.0,0.0,0.004,1.7,-0.1,1.7,0.0,2024,1,,,,,
26,Dmytro Skapintsev,732.0,C,25.0,NYK,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,-0.483,-16.0,-9.8,-25.9,0.0,2024,1,,,,,
27,Drew Peterson,576.0,PF,24.0,BOS,3.0,0.0,7.7,1.3,2.0,0.667,1.0,1.7,0.6,0.3,0.3,1.0,0.917,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.0,0.3,0.3,3.7,23.0,18.5,0.917,0.833,0.0,0.0,4.5,2.3,5.9,4.3,0.0,14.3,13.3,0.0,0.1,0.194,3.8,1.6,5.3,0.0,2024,1,,,,,
28,Duop Reath,261.0,C,27.0,POR,68.0,20.0,17.9,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1.0,1.4,0.742,1.4,2.3,3.7,1.0,0.5,0.6,0.8,2.4,9.1,1214.0,15.1,0.571,0.491,0.186,8.1,15.4,11.5,8.9,1.3,2.8,8.8,20.7,1.0,2.4,0.095,-0.2,-0.7,-0.9,0.3,2024,1,,,,,
29,E.J. Liddell,723.0,PF,23.0,NOP,8.0,0.0,2.9,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.167,0.3,0.3,1.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,23.0,4.3,0.291,0.833,0.333,0.0,23.9,12.1,5.2,4.3,8.6,22.5,16.8,0.1,0.0,-0.091,-8.7,4.0,-4.7,0.0,2024,1,,,,,
30,Emoni Bates,629.0,SF,20.0,CLE,15.0,0.0,8.9,1.0,3.3,0.306,0.7,2.2,0.303,0.3,1.1,0.313,0.408,0.1,0.3,0.25,0.1,0.9,0.9,0.7,0.1,0.1,0.5,0.3,2.7,133.0,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2,2024,1,,,,,
31,Filip Petrušev,691.0,C,23.0,SAC,3.0,0.0,3.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5,7.0,5.5,0.521,0.0,1.0,0.0,37.5,18.4,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.061,-3.0,-1.9,-4.9,0.0,2024,1,,,,,
32,GG Jackson II,119.0,PF,19.0,MEM,48.0,18.0,25.7,5.0,11.7,0.428,2.1,6.0,0.357,2.9,5.8,0.502,0.519,2.4,3.2,0.752,1.1,3.0,4.1,1.2,0.6,0.5,1.4,1.3,14.6,1233.0,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8.0,1.1,1.8,9.3,24.2,1.1,1.2,0.048,-0.2,-1.8,-2.0,0.0,2024,1,,,,,
33,Gradey Dick,283.0,SG,20.0,TOR,60.0,17.0,21.1,3.2,7.4,0.425,1.5,4.0,0.365,1.7,3.4,0.495,0.524,0.7,0.9,0.863,0.5,1.8,2.2,1.1,0.6,0.0,0.8,1.5,8.5,1268.0,8.9,0.546,0.542,0.115,2.3,9.3,5.7,7.4,1.3,0.1,9.7,17.4,0.4,0.3,0.01,-3.2,-2.2,-5.4,-1.1,2024,1,,,,,
34,Gui Santos,584.0,PF,21.0,GSW,23.0,0.0,8.3,1.2,2.4,0.509,0.4,1.2,0.37,0.8,1.2,0.643,0.6,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1.0,3.6,192.0,15.6,0.656,0.491,0.309,9.7,17.7,13.8,9.6,1.0,0.9,10.1,15.2,0.2,0.7,0.169,0.0,-0.5,-0.5,0.1,2024,1,,,,,
35,Hunter Tyson,705.0,PF,23.0,DEN,18.0,0.0,2.7,0.4,1.1,0.4,0.2,0.8,0.286,0.2,0.3,0.667,0.5,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.1,0.0,0.1,0.6,1.1,48.0,6.0,0.5,0.7,0.0,2.4,18.0,10.4,5.6,1.0,0.0,9.1,20.0,0.1,0.0,0.007,-6.8,-2.1,-8.9,-0.1,2024,1,,,,,
36,Ibou Badji,688.0,C,21.0,POR,22.0,1.0,10.3,0.6,1.0,0.636,0.0,0.0,0.0,0.6,1.0,0.636,0.636,0.3,0.5,0.5,0.9,1.4,2.3,0.6,0.1,0.9,0.7,2.1,1.5,226.0,8.1,0.623,0.0,0.545,9.4,16.3,12.6,7.7,0.7,8.0,35.5,8.0,0.2,0.2,0.046,-7.7,1.9,-5.8,-0.2,2024,1,,,,,
37,Jacob Toppin,695.0,SF,23.0,NYK,9.0,0.0,4.2,0.6,1.0,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1.0,0.3,0.4,0.8,0.3,0.0,0.1,0.1,0.3,1.4,38.0,14.3,0.658,0.444,0.222,8.8,11.9,10.3,10.9,0.0,2.5,9.2,12.4,0.0,0.1,0.161,0.6,-1.3,-0.7,0.0,2024,1,,,,,
38,Jaime Jaquez Jr.,193.0,SF,22.0,MIA,75.0,20.0,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1.0,0.3,1.5,2.2,11.9,2113.0,12.9,0.574,0.29,0.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,2.7,4.0,0.092,-2.2,0.3,-1.9,0.1,2024,1,,,,,
39,Jalen Crutcher,729.0,PG,24.0,NOP,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,-0.334,-18.5,-7.8,-26.2,0.0,2024,1,,,,,
40,Jalen Hood-Schifino,680.0,SG,20.0,LAL,21.0,0.0,5.2,0.5,2.1,0.222,0.1,0.7,0.133,0.4,1.4,0.267,0.244,0.6,1.0,0.6,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6,109.0,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4,2024,1,,,,,
41,Jalen Pickett,678.0,SG,24.0,DEN,27.0,0.0,4.5,0.6,1.3,0.429,0.3,0.9,0.36,0.2,0.4,0.6,0.557,0.1,0.1,0.75,0.0,0.5,0.5,0.8,0.1,0.0,0.3,0.5,1.6,122.0,9.7,0.571,0.714,0.114,0.9,11.5,6.4,21.7,1.6,0.0,19.7,16.4,0.1,0.2,0.065,-2.7,-0.5,-3.3,0.0,2024,1,,,,,
42,Jalen Slawson,720.0,SF,24.0,SAC,12.0,0.0,3.1,0.3,0.5,0.667,0.0,0.2,0.0,0.3,0.3,1.0,0.667,0.0,0.0,0.0,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.7,0.7,37.0,6.6,0.667,0.333,0.0,3.0,18.6,10.6,6.9,1.3,2.5,25.0,9.2,0.0,0.0,0.058,-7.5,1.1,-6.4,0.0,2024,1,,,,,
43,Jalen Wilson,473.0,PF,23.0,BRK,43.0,3.0,15.4,1.8,4.2,0.425,0.6,1.7,0.324,1.2,2.4,0.495,0.492,0.9,1.1,0.826,1.1,2.0,3.0,1.0,0.3,0.1,0.4,1.1,5.0,664.0,10.8,0.537,0.413,0.257,7.5,14.2,10.8,9.3,0.8,0.5,8.7,14.3,0.4,1.1,0.077,-1.8,-1.1,-2.9,-0.2,2024,1,,,,,
44,Jarace Walker,585.0,PF,20.0,IND,33.0,0.0,10.3,1.4,3.3,0.409,0.7,1.7,0.4,0.7,1.7,0.418,0.509,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6,340.0,11.8,0.527,0.5,0.082,4.0,17.0,10.5,13.9,2.1,2.6,13.0,16.1,0.3,0.4,0.058,-0.5,0.7,0.2,0.2,2024,1,,,,,
