,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,experience,svm_distance,norm_svm_dist_score,first,share,pca_distance
0,Tosan Evbuomwan,SF,22,TOT,6,0,15.0,1.2,3.0,0.389,0.5,1.5,0.333,0.7,1.5,0.444,0.472,0.0,0.0,0.0,1.3,1.3,2.7,1.0,0.2,0.2,0.2,1.0,2.8,90,8.1,0.472,0.5,0.0,9.5,10.2,9.8,9.0,0.5,1.0,5.3,9.1,0.1,0.1,0.049,-3.1,-1.4,-4.5,-0.1,2024,1,-14.749858014217946,-1.1184018867124408,0.0,0.0,0.0159145213290266
1,Trey Jemison,C,24,TOT,10,4,17.1,1.9,3.9,0.487,0.0,0.0,0.0,1.9,3.9,0.487,0.487,0.7,0.9,0.778,1.7,2.0,3.7,0.8,0.4,1.0,1.0,2.8,4.5,171,9.4,0.524,0.0,0.231,10.6,13.3,11.9,6.8,1.1,5.4,18.9,13.4,0.2,0.2,0.05,-6.9,-0.1,-7.1,-0.2,2024,1,-12.731156496653158,0.9002996308523468,0.0,0.0,0.0139312745619901
2,Vasilije Micić,PG,30,TOT,40,1,14.8,1.8,4.4,0.406,0.5,1.9,0.243,1.3,2.5,0.525,0.457,0.7,0.9,0.765,0.1,0.9,1.0,3.4,0.4,0.1,1.2,0.9,4.7,590,9.1,0.49,0.423,0.194,0.9,6.3,3.7,30.1,1.2,0.5,20.2,17.5,0.3,0.1,0.007,-3.4,-1.8,-5.2,-0.5,2024,1,-12.38294072482989,1.248515402675615,0.0,0.0,0.0141453791977568
3,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,10,5.0,0.521,0.0,1.0,0.0,11.2,5.5,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.021,-4.8,-3.4,-8.1,0.0,2024,1,-17.114630544701686,-3.4831744171961816,0.0,0.0,0.0371495702923904
4,Ibou Badji,C,21,POR,18,1,11.3,0.7,1.1,0.632,0.0,0.0,0.0,0.7,1.1,0.632,0.632,0.3,0.6,0.5,1.1,1.6,2.7,0.7,0.1,1.1,0.8,2.3,1.6,203,8.4,0.62,0.0,0.526,9.9,17.3,13.4,8.5,0.5,8.9,37.4,7.8,0.2,0.2,0.051,-7.7,2.2,-5.6,-0.2,2024,1,-14.9971465999503,-1.3656904724447951,0.0,0.0,0.0066313954792235
5,Amari Bailey,PG,19,CHO,3,0,5.0,0.7,2.3,0.286,0.0,1.0,0.0,0.7,1.3,0.5,0.286,0.3,0.7,0.5,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7,15,2.1,0.317,0.429,0.286,14.3,0.0,7.4,9.4,0.0,0.0,11.3,25.9,0.0,-0.1,-0.225,-6.3,-6.8,-13.1,0.0,2024,1,-15.464233332664248,-1.832777205158744,0.0,0.0,0.0412532291026028
6,Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,0.24,0.5,2.0,0.25,0.1,0.5,0.2,0.34,0.1,0.2,0.5,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8,76,3.6,0.348,0.8,0.08,1.5,12.8,7.3,9.9,0.6,2.3,3.7,15.4,0.1,0.0,-0.022,-5.3,-0.8,-6.1,-0.1,2024,1,-15.314481920469683,-1.6830257929641783,0.0,0.0,0.0247336008574461
7,Jules Bernard,SG,24,WAS,8,0,4.5,0.5,1.6,0.308,0.3,1.1,0.222,0.3,0.5,0.5,0.385,0.1,0.3,0.5,0.4,0.4,0.8,0.6,0.1,0.1,0.3,0.5,1.4,36,7.4,0.396,0.692,0.154,8.6,9.2,8.9,17.6,1.3,2.2,12.6,18.5,0.0,0.0,-0.053,-3.9,-1.5,-5.4,0.0,2024,1,-15.927592332181272,-2.2961362046757667,0.0,0.0,0.0256600389790211
8,Onuralp Bitim,SG,24,CHI,4,0,12.3,1.3,3.3,0.385,1.0,2.0,0.5,0.3,1.3,0.2,0.538,0.5,0.5,1.0,0.0,2.5,2.5,0.3,0.0,0.0,0.5,0.8,4.0,49,6.7,0.576,0.615,0.154,0.0,23.4,11.4,2.7,0.0,0.0,12.6,14.2,0.0,0.0,0.025,-3.5,-0.4,-3.9,0.0,2024,1,-14.290370176214712,-0.6589140487092067,0.0,0.0,0.0322208186401903
9,Anthony Black,PG,20,ORL,55,31,18.3,1.8,3.8,0.469,0.5,1.4,0.382,1.3,2.4,0.519,0.538,0.9,1.3,0.662,0.5,1.7,2.3,1.5,0.5,0.3,0.9,1.8,4.9,1005,8.5,0.566,0.364,0.34,3.3,11.2,7.2,11.1,1.5,1.7,16.9,12.5,1.3,1.5,0.071,-3.8,0.8,-2.9,-0.2,2024,1,-11.29670759820799,2.3347485292975154,0.0,0.0,0.0132112841933994
10,Leaky Black,SF,24,CHO,22,3,9.9,0.8,1.8,0.436,0.3,0.7,0.467,0.5,1.1,0.417,0.526,0.4,0.6,0.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3,218,10.0,0.554,0.385,0.359,3.9,16.0,9.7,10.8,1.1,2.5,10.0,10.0,0.1,0.3,0.064,-3.2,-0.2,-3.4,-0.1,2024,1,-15.176531411634516,-1.5450752841290123,0.0,0.0,0.0304599841063307
11,Kobe Brown,PF,24,LAC,33,0,8.6,0.7,1.9,0.381,0.4,1.2,0.308,0.4,0.7,0.5,0.476,0.0,0.1,0.5,0.3,1.1,1.4,0.5,0.2,0.1,0.2,1.2,1.8,285,5.5,0.477,0.619,0.032,4.1,13.4,8.9,7.4,1.0,0.9,9.9,10.8,0.2,0.2,0.039,-4.8,0.1,-4.7,-0.2,2024,1,-15.287820454495632,-1.6563643269901274,0.0,0.0,0.0186734806965275
12,Kobe Bufkin,SG,20,ATL,9,0,9.9,1.4,4.1,0.351,0.6,1.9,0.294,0.9,2.2,0.4,0.419,0.2,0.4,0.5,0.2,1.3,1.6,1.7,0.3,0.1,0.6,0.7,3.7,89,8.8,0.426,0.459,0.108,2.3,15.1,8.5,22.4,1.6,1.0,11.4,20.2,0.0,0.0,-0.026,-3.5,-0.4,-3.9,0.0,2024,1,-13.887740613275785,-0.2562844857702782,0.0,0.0,0.0088625784391759
13,Toumani Camara,PF,23,POR,58,38,23.9,2.7,6.2,0.434,0.8,2.4,0.321,1.9,3.7,0.507,0.497,1.0,1.4,0.723,1.9,3.0,4.9,1.1,1.0,0.4,1.2,2.5,7.2,1385,10.1,0.527,0.392,0.232,8.6,15.1,11.6,6.3,2.0,1.7,14.9,14.2,1.3,1.3,0.047,-3.6,0.0,-3.7,-0.6,2024,1,-8.928787645249088,4.702668482256417,0.0,0.0,0.0361945801510184
14,D.J. Carton,SG,23,TOR,3,0,7.7,1.0,2.0,0.5,0.3,1.0,0.333,0.7,1.0,0.667,0.583,1.0,1.0,1.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,3.3,23,13.0,0.683,0.5,0.5,4.7,4.9,4.8,17.1,0.0,0.0,12.0,15.4,0.0,0.1,0.134,-1.9,-0.9,-2.7,0.0,2024,1,-15.243350589766813,-1.6118944622613078,0.0,0.0,0.0372059362797727
15,Colin Castleton,C,23,LAL,7,0,5.1,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,0.6,0.6,1.0,0.6,0.7,1.3,0.4,0.0,0.0,0.1,1.0,2.6,36,18.6,0.765,0.0,0.4,12.9,14.8,13.9,11.8,0.0,0.0,7.8,15.3,0.0,0.2,0.232,-0.2,-1.9,-2.0,0.0,2024,1,-16.432829841342954,-2.801373713837449,0.0,0.0,0.0451877458163965
16,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,-6.0,-3.2,-9.2,0.0,2024,1,-17.187292821885706,-3.5558366943802007,0.0,0.0,0.0693033057462868
17,Sidy Cissoko,SF,19,SAS,6,0,5.3,0.2,1.0,0.167,0.0,0.7,0.0,0.2,0.3,0.5,0.167,0.7,0.7,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.2,0.3,1.0,32,5.4,0.387,0.667,0.667,0.0,20.6,10.2,0.0,4.4,0.0,11.4,11.5,0.0,0.0,-0.014,-9.3,0.4,-8.9,-0.1,2024,1,-15.81928369304197,-2.1878275655364643,0.0,0.0,0.0383482049446442
18,Noah Clowney,PF,19,BRK,7,0,9.9,1.6,2.6,0.611,0.1,0.6,0.25,1.4,2.0,0.714,0.639,0.9,0.9,1.0,0.9,1.0,1.9,0.9,0.0,0.1,0.4,0.7,4.1,69,16.0,0.703,0.222,0.333,9.1,11.4,10.2,12.4,0.0,1.3,12.7,14.7,0.0,0.2,0.152,0.1,-2.1,-1.9,0.0,2024,1,-14.818561217555883,-1.1871050900503786,0.0,0.0,0.0405305211708627
19,Bilal Coulibaly,SF,19,WAS,56,8,26.7,2.9,6.7,0.442,1.0,2.8,0.357,2.0,3.9,0.502,0.516,1.3,2.0,0.682,0.9,3.1,4.0,1.7,0.9,0.8,1.4,2.1,8.2,1494,8.7,0.546,0.413,0.295,3.4,12.9,8.0,8.2,1.5,2.3,16.0,14.0,0.7,0.2,0.005,-3.8,-0.5,-4.3,-0.9,2024,1,-8.761545442249504,4.869910685256,0.0,0.0,0.0397806635150749
20,Ricky Council IV,SG,22,PHI,19,0,9.5,1.9,4.0,0.487,0.2,0.9,0.235,1.7,3.1,0.559,0.513,2.2,2.8,0.759,0.6,1.4,2.0,0.4,0.1,0.0,0.2,0.4,6.3,180,19.8,0.596,0.224,0.711,7.3,16.2,11.7,5.8,0.5,0.0,2.9,24.4,0.1,0.6,0.172,2.4,-2.2,0.3,0.1,2024,1,-13.700609081445922,-0.0691529539404172,0.0,0.0,0.0348719660181872
21,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,-0.326,-18.4,-7.7,-26.0,0.0,2024,1,-16.246672558523546,-2.615216431018041,0.0,0.0,0.084062105268349
22,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,30,18.2,0.541,0.421,0.158,3.6,29.3,16.4,23.6,0.0,2.9,12.9,33.2,0.0,0.0,-0.004,1.9,-0.3,1.6,0.0,2024,1,-14.08747218786236,-0.4560160603568555,0.0,0.0,0.023234475358866
23,Gradey Dick,SG,20,TOR,40,1,16.3,2.4,5.3,0.445,1.2,3.1,0.387,1.2,2.2,0.529,0.559,0.6,0.6,0.92,0.5,1.5,1.9,1.1,0.5,0.0,0.6,1.4,6.5,650,10.6,0.583,0.588,0.118,3.0,10.0,6.4,9.3,1.6,0.0,9.4,16.1,0.3,0.8,0.059,-2.2,-1.0,-3.3,-0.2,2024,1,-11.98525418073286,1.6462019467726456,0.0,0.0,0.0211622489958495
24,Adam Flagler,SG,24,OKC,1,0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,-13.6,0.0,1.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,21.7,0.0,-0.1,-0.451,-18.0,-9.0,-27.0,0.0,2024,1,-14.985031028019918,-1.353574900514413,0.0,0.0,0.0868091265826049
25,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,22,16.6,0.761,0.429,0.286,0.0,10.6,5.1,12.5,0.0,0.0,11.3,17.2,0.0,0.1,0.148,3.2,-1.4,1.9,0.0,2024,1,-16.658784985601034,-3.027328858095529,0.0,0.0,0.0745933460894008
26,Javon Freeman-Liberty,PG,24,TOR,3,0,1.7,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,5,6.4,0.333,0.0,0.0,21.5,0.0,11.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,-0.121,-8.3,-7.9,-16.2,0.0,2024,1,-17.13825095716559,-3.506794829660084,0.0,0.0,0.0450389063153005
27,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,14,-1.9,0.291,0.333,0.333,16.6,0.0,8.0,0.0,0.0,0.0,12.7,24.3,0.0,-0.1,-0.228,-10.0,-8.2,-18.2,-0.1,2024,1,-15.6441112353573,-2.012655107851794,0.0,0.0,0.0473034536893677
28,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-19.7,0.0,0.5,0.0,0.0,15.7,7.9,0.0,0.0,0.0,0.0,24.6,0.0,-0.1,-0.544,-18.5,-10.1,-28.6,-0.1,2024,1,-15.043755658278794,-1.4122995307732893,0.0,0.0,0.0930610789199978
29,Keyonte George,PG,20,UTA,55,24,25.7,4.0,10.1,0.394,2.0,5.6,0.353,2.0,4.4,0.447,0.493,2.3,2.8,0.822,0.3,2.6,2.8,4.5,0.5,0.1,2.1,1.1,12.2,1415,11.2,0.54,0.559,0.275,1.1,10.8,6.0,23.9,0.9,0.3,15.8,21.6,0.3,0.7,0.024,-0.9,-2.4,-3.3,-0.4,2024,1,-6.465200964599404,7.166255162906101,0.0,0.0,0.0508859194200591
30,Collin Gillespie,PG,24,DEN,19,0,8.5,1.2,2.4,0.511,0.6,1.3,0.458,0.6,1.1,0.571,0.633,0.3,0.4,0.625,0.1,0.6,0.6,0.8,0.5,0.0,0.5,0.9,3.3,161,11.3,0.639,0.533,0.178,0.7,7.4,4.1,12.9,3.1,0.0,17.1,15.8,0.2,0.3,0.085,-3.6,1.3,-2.3,0.0,2024,1,-14.83447976323265,-1.2030236357271455,0.0,0.0,0.0334934785733078
31,Mouhamadou Gueye,PF,25,TOR,1,0,6.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,6,23.5,0.333,0.0,0.0,35.9,18.6,27.4,0.0,0.0,29.0,0.0,21.3,0.0,0.0,0.115,-0.4,1.7,1.2,0.0,2024,1,-16.85532126814795,-3.223865140642445,0.0,0.0,0.0225139594851803
32,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,4,-0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,10.3,0.0,0.0,-0.111,-12.6,3.6,-9.0,0.0,2024,1,-16.59143307160536,-2.9599769440998536,0.0,0.0,0.0699052593130993
33,Jordan Hawkins,SG,21,NOP,54,10,19.7,3.1,7.8,0.393,1.9,5.2,0.373,1.1,2.6,0.434,0.517,1.2,1.4,0.853,0.5,2.1,2.6,1.2,0.3,0.1,0.7,1.2,9.3,1065,10.9,0.549,0.661,0.178,2.9,11.4,7.2,8.3,0.8,0.5,7.7,19.9,0.9,1.5,0.067,-0.7,-1.6,-2.3,-0.1,2024,1,-9.802765862194615,3.828690265310888,0.0,0.0,0.0261362731789542
34,Scoot Henderson,PG,19,POR,43,16,27.0,4.4,11.8,0.375,1.2,3.9,0.31,3.2,7.9,0.408,0.427,2.8,3.4,0.818,0.9,2.1,3.0,4.7,0.6,0.2,3.0,3.0,12.9,1160,8.9,0.484,0.332,0.292,3.5,9.3,6.2,27.0,1.0,0.8,18.2,25.6,0.6,-1.0,-0.043,-3.9,-2.5,-6.3,-1.3,2024,1,-5.1888218327269735,8.442634294778532,0.0,0.0,0.0744558737060945
35,Taylor Hendricks,PF,20,UTA,22,5,17.6,2.2,5.1,0.425,1.0,3.0,0.318,1.2,2.1,0.574,0.518,0.4,0.5,0.818,1.2,2.8,4.0,0.5,0.6,0.6,0.8,1.7,5.7,387,10.3,0.535,0.584,0.097,7.7,17.4,12.6,4.1,1.7,3.0,12.6,14.5,0.3,0.3,0.043,-2.8,-1.0,-3.8,-0.2,2024,1,-11.959455295037566,1.6720008324679387,0.0,0.0,0.0194260513616056
36,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,41,6.1,0.441,0.8,0.133,0.0,0.0,0.0,15.6,1.2,2.1,5.9,17.8,0.0,0.0,-0.024,-3.9,-2.6,-6.5,0.0,2024,1,-15.741542042579306,-2.1100859150738014,0.0,0.0,0.0265314999460151
37,Chet Holmgren,C,21,OKC,60,60,30.2,6.5,11.9,0.544,1.7,4.3,0.397,4.8,7.6,0.626,0.615,2.6,3.3,0.785,1.6,6.2,7.8,2.7,0.7,2.6,1.7,2.5,17.2,1812,21.1,0.645,0.361,0.274,6.2,21.7,14.3,12.6,1.1,7.8,11.1,21.5,3.3,7.1,0.187,2.4,1.9,4.3,2.9,2024,1,-1.7944220368483883,11.837034090657117,0.0,0.0,0.1061574944804349
38,Jalen Hood-Schifino,SG,20,LAL,19,0,5.4,0.5,2.2,0.244,0.1,0.7,0.154,0.4,1.5,0.286,0.268,0.6,0.9,0.611,0.1,0.5,0.6,0.4,0.2,0.1,0.5,0.7,1.7,103,-0.5,0.337,0.317,0.439,2.3,10.4,6.5,9.6,1.4,1.7,15.5,24.3,0.1,-0.4,-0.202,-11.8,-3.2,-14.9,-0.3,2024,1,-14.81202656661759,-1.1805704391120848,0.0,0.0,0.0370610588723903
39,Jett Howard,SF,20,ORL,13,0,3.8,0.6,1.7,0.364,0.4,1.3,0.294,0.2,0.4,0.6,0.477,0.2,0.3,0.5,0.1,0.3,0.4,0.2,0.0,0.1,0.2,0.2,1.8,49,7.8,0.484,0.773,0.182,2.4,9.6,5.9,9.0,0.0,1.9,7.8,22.8,0.0,0.0,-0.002,-1.4,-2.3,-3.7,0.0,2024,1,-16.060500422876157,-2.429044295370652,0.0,0.0,0.0327959715522708
40,Matthew Hurt,PF,23,MEM,6,0,14.3,1.7,4.2,0.4,0.7,2.2,0.308,1.0,2.0,0.5,0.48,0.5,0.5,1.0,0.8,0.8,1.7,0.7,0.3,0.5,0.2,1.0,4.5,86,10.2,0.513,0.52,0.12,6.2,6.6,6.4,6.8,1.1,3.2,3.7,13.7,0.1,0.1,0.07,-1.7,0.1,-1.6,0.0,2024,1,-14.000726290747735,-0.3692701632422306,0.0,0.0,0.0219894505140424
41,Andre Jackson Jr.,SG,22,MIL,47,8,10.6,1.0,1.9,0.529,0.3,0.9,0.375,0.7,1.0,0.66,0.615,0.2,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.4,1.7,2.4,500,9.0,0.626,0.46,0.126,8.1,12.1,10.1,10.8,1.3,0.7,18.6,9.7,0.4,1.0,0.099,-3.1,0.0,-3.1,-0.1,2024,1,-14.3083110123295,-0.6768548848239941,0.0,0.0,0.0228788969590362
42,GG Jackson II,PF,19,MEM,28,1,20.5,3.9,9.0,0.433,1.7,4.5,0.384,2.2,4.5,0.48,0.528,1.9,2.7,0.697,1.0,2.5,3.5,0.7,0.5,0.6,1.1,1.2,11.4,575,13.7,0.559,0.496,0.302,5.2,13.9,9.4,5.7,1.2,2.6,9.5,23.7,0.6,0.6,0.048,-0.6,-1.5,-2.2,0.0,2024,1,-9.034205916632995,4.5972502108725095,0.0,0.0,0.0341242868549042
43,Trayce Jackson-Davis,PF,23,GSW,47,3,13.1,2.8,4.0,0.689,0.0,0.0,0.0,2.8,4.0,0.689,0.689,1.0,1.8,0.578,1.7,2.3,4.0,0.9,0.3,0.8,0.6,1.6,6.6,614,21.3,0.684,0.0,0.437,13.9,19.1,16.5,10.5,1.0,5.7,11.7,17.5,0.8,2.5,0.195,1.0,0.8,1.8,0.6,2024,1,-12.416959313286691,1.214496814218812,0.0,0.0,0.0329101227855573
44,Jaime Jaquez Jr.,SF,22,MIA,54,17,29.5,4.9,10.0,0.492,0.9,2.8,0.318,4.0,7.2,0.559,0.536,2.0,2.4,0.809,1.3,2.6,3.9,2.6,1.1,0.2,1.7,2.3,12.7,1594,12.6,0.573,0.279,0.242,4.8,10.3,7.5,13.3,1.9,0.7,13.1,19.1,1.9,2.6,0.079,-2.4,0.0,-2.4,-0.2,2024,1,-6.014996271894659,7.616459855610846,0.0,0.0,0.0527920347235037
